Vivado Simulator 2020.1
Time resolution is 1 ps
Time=17950000 | PC=76 | Inst=fff68693 | LEDs=3 | switches=5 | rst=0
Time=18050000 | PC=80 | Inst=fe069ee3 | LEDs=3 | switches=5 | rst=0
Time=18150000 | PC=84 | Inst=fe0004e3 | LEDs=3 | switches=5 | rst=0
Time=18250000 | PC=60 | Inst=00c32023 | LEDs=3 | switches=5 | rst=0
Time=18350000 | PC=64 | Inst=00060c63 | LEDs=2 | switches=5 | rst=0
Time=18450000 | PC=68 | Inst=fff60613 | LEDs=2 | switches=5 | rst=0
Time=18550000 | PC=72 | Inst=00300693 | LEDs=2 | switches=5 | rst=0
Time=18650000 | PC=76 | Inst=fff68693 | LEDs=2 | switches=5 | rst=0
Time=18750000 | PC=80 | Inst=fe069ee3 | LEDs=2 | switches=5 | rst=0
Time=18850000 | PC=76 | Inst=fff68693 | LEDs=2 | switches=5 | rst=0
Time=18950000 | PC=80 | Inst=fe069ee3 | LEDs=2 | switches=5 | rst=0
Time=19050000 | PC=76 | Inst=fff68693 | LEDs=2 | switches=5 | rst=0
Time=19150000 | PC=80 | Inst=fe069ee3 | LEDs=2 | switches=5 | rst=0
Time=19250000 | PC=84 | Inst=fe0004e3 | LEDs=2 | switches=5 | rst=0
Time=19350000 | PC=60 | Inst=00c32023 | LEDs=2 | switches=5 | rst=0
Time=19450000 | PC=64 | Inst=00060c63 | LEDs=1 | switches=5 | rst=0
Time=19550000 | PC=68 | Inst=fff60613 | LEDs=1 | switches=5 | rst=0
Time=19650000 | PC=72 | Inst=00300693 | LEDs=1 | switches=5 | rst=0
Time=19750000 | PC=76 | Inst=fff68693 | LEDs=1 | switches=5 | rst=0
Time=19850000 | PC=80 | Inst=fe069ee3 | LEDs=1 | switches=5 | rst=0
Time=19950000 | PC=76 | Inst=fff68693 | LEDs=1 | switches=5 | rst=0
Time=20050000 | PC=80 | Inst=fe069ee3 | LEDs=1 | switches=5 | rst=0
Time=20150000 | PC=76 | Inst=fff68693 | LEDs=1 | switches=5 | rst=0
Time=20250000 | PC=80 | Inst=fe069ee3 | LEDs=1 | switches=5 | rst=0
Time=20350000 | PC=84 | Inst=fe0004e3 | LEDs=1 | switches=5 | rst=0
Time=20450000 | PC=60 | Inst=00c32023 | LEDs=1 | switches=5 | rst=0
Time=20550000 | PC=64 | Inst=00060c63 | LEDs=0 | switches=5 | rst=0
Time=20650000 | PC=88 | Inst=00032023 | LEDs=0 | switches=5 | rst=0
Time=20750000 | PC=92 | Inst=00012603 | LEDs=0 | switches=5 | rst=0
Time=20850000 | PC=96 | Inst=00412083 | LEDs=0 | switches=5 | rst=0
Time=20950000 | PC=100 | Inst=00810113 | LEDs=0 | switches=5 | rst=0
Time=21050000 | PC=104 | Inst=00008067 | LEDs=0 | switches=5 | rst=0
Time=21150000 | PC=40 | Inst=fe0006e3 | LEDs=0 | switches=5 | rst=0
Time=21250000 | PC=20 | Inst=00032023 | LEDs=0 | switches=5 | rst=0
Time=21350000 | PC=24 | Inst=0002a583 | LEDs=0 | switches=5 | rst=0
Time=21450000 | PC=28 | Inst=fe058ee3 | LEDs=0 | switches=5 | rst=0
Time=21550000 | PC=32 | Inst=00058533 | LEDs=0 | switches=5 | rst=0
Time=21650000 | PC=36 | Inst=008000ef | LEDs=0 | switches=5 | rst=0
Time=21750000 | PC=44 | Inst=ff810113 | LEDs=0 | switches=5 | rst=0
Time=21850000 | PC=48 | Inst=00112223 | LEDs=0 | switches=5 | rst=0
Time=21950000 | PC=52 | Inst=00c12023 | LEDs=0 | switches=5 | rst=0
Time=22050000 | PC=56 | Inst=00050633 | LEDs=0 | switches=5 | rst=0
Time=22150000 | PC=60 | Inst=00c32023 | LEDs=0 | switches=5 | rst=0
Time=22250000 | PC=64 | Inst=00060c63 | LEDs=5 | switches=5 | rst=0
Time=22350000 | PC=68 | Inst=fff60613 | LEDs=5 | switches=5 | rst=0
Time=22450000 | PC=72 | Inst=00300693 | LEDs=5 | switches=5 | rst=0
Time=22550000 | PC=76 | Inst=fff68693 | LEDs=5 | switches=5 | rst=0
Time=22650000 | PC=80 | Inst=fe069ee3 | LEDs=5 | switches=5 | rst=0
Time=22750000 | PC=76 | Inst=fff68693 | LEDs=5 | switches=5 | rst=0
Time=22850000 | PC=80 | Inst=fe069ee3 | LEDs=5 | switches=5 | rst=0
Time=22950000 | PC=76 | Inst=fff68693 | LEDs=5 | switches=5 | rst=0
